Fréquence (Hz)	Niveau (dB)
5824,218750	-85,268021
5835,937500	-85,104897
5847,656250	-85,088661
5859,375000	-84,914246
5871,093750	-85,551476
5882,812500	-85,563469
5894,531250	-85,061378
5906,250000	-84,985191
5917,968750	-85,118011
5929,687500	-85,141548
5941,406250	-84,815590
5953,125000	-85,359711
5964,843750	-85,405228
5976,562500	-85,518227
5988,281250	-85,210701
6000,000000	-84,859970
6011,718750	-85,433228
6023,437500	-85,871338
6035,156250	-85,415985
6046,875000	-85,056274
6058,593750	-85,034027
6070,312500	-85,562523
6082,031250	-85,450592
6093,750000	-85,408241
6105,468750	-85,298729
6117,187500	-85,653175
6128,906250	-85,721069
6140,625000	-85,852478
6152,343750	-85,786049
6164,062500	-85,506485
6175,781250	-85,879463
6187,500000	-85,595268
6199,218750	-85,691887
6210,937500	-85,898018
6222,656250	-85,921951
6234,375000	-85,561966
6246,093750	-85,525009
6257,812500	-85,804512
6269,531250	-85,937401
6281,250000	-85,937904
6292,968750	-86,013466
6304,687500	-86,155266
6316,406250	-85,813087
6328,125000	-85,185478
6339,843750	-85,654167
6351,562500	-85,674957
6363,281250	-85,295975
6375,000000	-85,470596
6386,718750	-85,542313
6398,437500	-85,815842
6410,156250	-85,832062
6421,875000	-85,790840
6433,593750	-86,232643
6445,312500	-85,810806
6457,031250	-86,075111
6468,750000	-86,046638
6480,468750	-85,929459
6492,187500	-85,822212
6503,906250	-85,851738
6515,625000	-86,160576
6527,343750	-86,364510
6539,062500	-85,953827
6550,781250	-85,824615
6562,500000	-86,082794
6574,218750	-86,013016
6585,937500	-86,346657
6597,656250	-86,294266
6609,375000	-86,041656
6621,093750	-85,673988
6632,812500	-85,486778
6644,531250	-85,165749
6656,250000	-85,066368
6667,968750	-85,662315
6679,687500	-86,191933
6691,406250	-86,071587
6703,125000	-85,889893
6714,843750	-86,254349
6726,562500	-86,478195
6738,281250	-86,529732
6750,000000	-86,603104
6761,718750	-86,247734
6773,437500	-86,070549
6785,156250	-86,210884
6796,875000	-85,484138
6808,593750	-85,772270
6820,312500	-85,762016
6832,031250	-86,244530
6843,750000	-86,785507
6855,468750	-86,715004
6867,187500	-86,876457
6878,906250	-88,374924
6890,625000	-89,113197
6902,343750	-88,966522
6914,062500	-88,715065
6925,781250	-87,828789
6937,500000	-87,838135
6949,218750	-87,666107
6960,937500	-87,612358
6972,656250	-87,973221
6984,375000	-87,759460
6996,093750	-88,049599
7007,812500	-88,524132
7019,531250	-88,616043
7031,250000	-88,685158
7042,968750	-88,206390
7054,687500	-88,337410
7066,406250	-88,506721
7078,125000	-88,369812
7089,843750	-88,753983
7101,562500	-88,750748
7113,281250	-88,592102
7125,000000	-88,943954
